=====START=====
消息,2016-11-04,(+0800) 00:00:22,Start,"加载Rebecca AIML成功","CWeChatDlg-OnBnClickedReloadAiml()"
消息,2016-11-04,(+0800) 00:03:26,Operation Result,"加载property.ini完成","CWeChatDlg-OnInitDialog()"
=====START=====
消息,2016-11-04,(+0800) 00:03:41,Start,"进行初始化","CWeChatDlg-OnBnClickedStart()"
消息,2016-11-04,(+0800) 00:07:41,Operation Result,"加载property.ini完成","CWeChatDlg-OnInitDialog()"
消息,2016-11-04,(+0800) 00:08:09,Operation Result,"加载property.ini完成","CWeChatDlg-OnInitDialog()"
消息,2016-11-04,(+0800) 00:08:34,Operation Result,"加载property.ini完成","CWeChatDlg-OnInitDialog()"
消息,2016-11-04,(+0800) 00:08:52,Operation Result,"加载property.ini完成","CWeChatDlg-OnInitDialog()"
=====START=====
消息,2016-11-04,(+0800) 00:09:12,Start,"进行初始化","CWeChatDlg-OnBnClickedStart()"
错误,2016-11-04,(+0800) 00:09:21,Error Message,"没有获得微信程序的窗口","findWeChatWnd"
消息,2016-11-04,(+0800) 00:10:15,Operation Result,"加载property.ini完成","CWeChatDlg-OnInitDialog()"
=====START=====
消息,2016-11-04,(+0800) 00:10:20,Start,"进行初始化","CWeChatDlg-OnBnClickedStart()"
错误,2016-11-04,(+0800) 00:10:22,Error Message,"没有获得微信程序的窗口","findWeChatWnd"
错误,2016-11-04,(+0800) 00:10:32,Error Message,"没有获得微信程序的窗口","findWeChatWnd"
错误,2016-11-04,(+0800) 00:10:34,Error Message,"没有获得微信程序的窗口","findWeChatWnd"
错误,2016-11-04,(+0800) 00:10:34,Error Message,"没有获得微信程序的窗口","findWeChatWnd"
错误,2016-11-04,(+0800) 00:10:35,Error Message,"没有获得微信程序的窗口","findWeChatWnd"
错误,2016-11-04,(+0800) 00:10:35,Error Message,"没有获得微信程序的窗口","findWeChatWnd"
错误,2016-11-04,(+0800) 00:10:36,Error Message,"没有获得微信程序的窗口","findWeChatWnd"
错误,2016-11-04,(+0800) 00:10:37,Error Message,"没有获得微信程序的窗口","findWeChatWnd"
错误,2016-11-04,(+0800) 00:10:37,Error Message,"没有获得微信程序的窗口","findWeChatWnd"
错误,2016-11-04,(+0800) 00:10:38,Error Message,"没有获得微信程序的窗口","findWeChatWnd"
错误,2016-11-04,(+0800) 00:10:38,Error Message,"没有获得微信程序的窗口","findWeChatWnd"
错误,2016-11-04,(+0800) 00:10:39,Error Message,"没有获得微信程序的窗口","findWeChatWnd"
错误,2016-11-04,(+0800) 00:10:39,Error Message,"没有获得微信程序的窗口","findWeChatWnd"
错误,2016-11-04,(+0800) 00:10:40,Error Message,"没有获得微信程序的窗口","findWeChatWnd"
错误,2016-11-04,(+0800) 00:10:40,Error Message,"没有获得微信程序的窗口","findWeChatWnd"
消息,2016-11-04,(+0800) 21:36:29,Operation Result,"加载property.ini完成","CWeChatDlg-OnInitDialog()"
=====START=====
消息,2016-11-04,(+0800) 21:36:37,Start,"进行初始化","CWeChatDlg-OnBnClickedStart()"
错误,2016-11-04,(+0800) 21:36:39,Error Message,"没有获得微信程序的窗口","findWeChatWnd"
错误,2016-11-04,(+0800) 21:37:02,Error Message,"无法获取最后一条消息","CWeChatDlg-OnBnClickedStart()"
=====START=====
消息,2016-11-04,(+0800) 21:37:08,Start,"进行初始化","CWeChatDlg-OnBnClickedStart()"
消息,2016-11-04,(+0800) 21:37:10,Operation Result,"定时监控微信会话开始","CWeChatDlg-OnBnClickedStart()"
=====START=====
消息,2016-11-04,(+0800) 21:37:35,Start,"进行初始化","CWeChatDlg-OnBnClickedStart()"
消息,2016-11-04,(+0800) 21:37:37,Operation Result,"定时监控微信会话开始","CWeChatDlg-OnBnClickedStart()"
=====START=====
消息,2016-11-04,(+0800) 21:38:40,Start,"进行初始化","CWeChatDlg-OnBnClickedStart()"
消息,2016-11-04,(+0800) 21:38:43,Operation Result,"定时监控微信会话开始","CWeChatDlg-OnBnClickedStart()"
消息,2016-11-04,(+0800) 21:45:03,Receive Message,"速度呢","CWeChatDlg-getMSG()"
消息,2016-11-04,(+0800) 21:45:03,Operation Result,"输入语言：中文","CWeChatDlg-getResponse()"
消息,2016-11-04,(+0800) 21:45:05,Send Message,"Sorry, I can only understand English. Talk with me in English. THX~","CWeChatDlg-sendMSG()"
消息,2016-11-04,(+0800) 21:45:08,Send Message,"Hello, I am Alice, the intelligent AI chatting with English. At the moment, my master is busy so I will help him reply the requests. Besides, you can leave messages and I will inform him.","CWeChatDlg-sendMSG()"
消息,2016-11-04,(+0800) 21:45:18,Receive Message,"有硬盘检测工具","CWeChatDlg-getMSG()"
消息,2016-11-04,(+0800) 21:45:18,Operation Result,"输入语言：中文","CWeChatDlg-getResponse()"
